SITES,Qu (tsf),N value,Water Content,Material
SITE 1-6,6.4,22,15.6,CLAY
SITE 1-6,6.4,22,15.6,CLAY
SITE 1-7,4.8,53,14,SILTY CLAY
SITE 1-7,2.1,8,23,SILTY CLAY
SITE 1-7,0.4,2,21,SILTY CLAY
SITE 1-7,6,29,18,SILTY CLAY
SITE 1-7,0.9,22,15,SILTY CLAY
SITE 3-13,6.4,19,16,CLAY
SITE 3-13,4.3,20,15,SILTY CLAY
SITE 3-13,8,23,17,CLAY
SITE 3-13,9.9,37,11,CLAY LOAM
SITE 3-13,6,33,13,SILTY LOAM
SITE 3-13,10.9,24,19,SILTY CLAY
SITE 3-13,8,31,15,CLAY LOAM
SITE 5-25,10.9,40,10,CLAY
SITE 5-25,8.9,28,10,CLAY
SITE 5-3,8,34,8,CLAY LOAM
SITE 5-21,12,100,8,CLAY LOAM
SITE 5-21,9.1,21,11,CLAY LOAM
SITE 5-21,9.8,45,8,SANDY CLAY LOAM
SITE 7-32,5.6,30,13,CLAY LOAM
SITE 7-32,7.9,43,12,CLAY LOAM
SITE 7-32,7.3,40,12,CLAY LOAM
SITE 5-17,7.6,24,15,SILTY CLAY
SITE 5-17,6,20,9.6,SANDY CLAY LOAM
SITE 5-17,12,5,19,SILTY CLAY
SITE 5-17,8.2,21,15,SILTY CLAY
SITE 9-2,2.9,13,21,CLAY
SITE 9-1,2.1,6,30,CLAY
SITE 9-1,2.4,12,22,CLAY
SITE 8-50,2.6,17,19,CLAY TILL
SITE 8-50,4.2,16,24,CLAY TILL
SITE 4-5,4.5,13,25,SILTY CLAY
SITE 7-1,1.5,5,17,CLAY LOAM
SITE 3-15,7.9,87,10.6,SILTY CLAY LOAM
SITE 1-7,1.6,15,17,SILTY CLAY
SITE 1-7,3.3,11,16,SILT LOAM
SITE 3-13,3.3,16,19,CLAY
SITE 3-13,3.3,15,21,CLAY
SITE 5-21,3.5,13,16,CLAY LOAM
SITE 5-21,4.1,17,10,CLAY LOAM
SITE 5-25,2.3,16,12,CLAY TILL
SITE 5-3,3.2,12,12,SILTY CLAY LOAM
SITE 5-3,4.4,17,10,SILTY CLAY LOAM
SITE 5-3,2.8,13,12,SILTY CLAY LOAM
SITE 5-17,4.5,16,16,SILTY CLAY
